,,6827469,,
worstcase,1959,0.000286929,1203,0.345175789
monitor,1953,0.00028605,1204,0.34440464
communications,1948,0.000285318,1205,0.343808225
somebody,1948,0.000285318,1206,0.344093543
usopting,1944,0.000284732,1207,0.343671718
teacher,1942,0.000284439,1208,0.343602585
carpenter,1942,0.000284439,1209,0.343887025
plumber,1938,0.000283853,1210,0.343462563
sharing,1937,0.000283707,1211,0.343569044
necessary,1934,0.000283267,1212,0.343320197
wish,1931,0.000282828,1213,0.34307047
agencys,1926,0.000282096,1214,0.342464243
response,1921,0.000281363,1215,0.34185655
organizations,1919,0.00028107,1216,0.341781706
nonprofit,1918,0.000280924,1217,0.341884526
share,1916,0.000280631,1218,0.341808656
participatory,1915,0.000280485,1219,0.341910743
retailers,1914,0.000280338,1220,0.342012538
addition,1913,0.000280192,1221,0.34211404
magazine,1912,0.000280045,1222,0.342215248
francisco,1911,0.000279899,1223,0.342316164
marketers,1911,0.000279899,1224,0.342596063
expense,1910,0.000279752,1225,0.34269654
san,1910,0.000279752,1226,0.342976292
posted,1901,0.000278434,1227,0.341638607
dreamt,1900,0.000278288,1228,0.34173718
replacing,1897,0.000277848,1229,0.341475443
copies,1894,0.000277409,1230,0.341212827
backup,1893,0.000277262,1231,0.341309935
stunned,1882,0.000275651,1232,0.339602274
gascon,1878,0.000275065,1233,0.339155549
complain,1877,0.000274919,1234,0.339249874
uploaded,1875,0.000274626,1235,0.339163019
middle,1873,0.000274333,1236,0.339075578
remove,1867,0.000273454,1237,0.338262832
communicate,1864,0.000273015,1238,0.337992307
refuse,1863,0.000272868,1239,0.338083849
angeles,1861,0.000272575,1240,0.337993479
screen,1861,0.000272575,1241,0.338266054
los,1860,0.000272429,1242,0.338356718
absolute,1858,0.000272136,1243,0.338265029
grade,1857,0.00027199,1244,0.33835496
seventh,1856,0.000271843,1245,0.338444598
uncomfortable,1853,0.000271404,1246,0.338168947
carolina,1850,0.000270964,1247,0.337892417
merged,1845,0.000270232,1248,0.337249426
redeem,1844,0.000270085,1249,0.33733672
sold,1843,0.000269939,1250,0.337423722
understood,1841,0.000269646,1251,0.3373272
serving,1841,0.000269646,1252,0.337596846
assets,1841,0.000269646,1253,0.337866492
units,1840,0.0002695,1254,0.337952468
earned,1839,0.000269353,1255,0.338038151
seeking,1834,0.000268621,1256,0.337387691
substantial,1832,0.000268328,1257,0.337288093
although,1830,0.000268035,1258,0.33718791
did,1827,0.000267596,1259,0.336902738
satisfy,1822,0.000266863,1260,0.33624759
felonies,1821,0.000266717,1261,0.336329759
aggravated,1820,0.00026657,1262,0.336411634
halloran,1818,0.000266277,1263,0.336308228
quo,1816,0.000265984,1264,0.336204236
acquisition,1815,0.000265838,1265,0.33628494
status,1815,0.000265838,1266,0.336550777
merger,1814,0.000265691,1267,0.336631041
happy,1812,0.000265398,1268,0.336525292
transition,1811,0.000265252,1269,0.336604824
undergoes,1808,0.000264813,1270,0.336312036
wanted,1807,0.000264666,1271,0.336390689
determine,1806,0.00026452,1272,0.336469049
boys,1805,0.000264373,1273,0.336547116
committed,1802,0.000263934,1274,0.336251692
veteran,1801,0.000263787,1275,0.33632888
reign,1800,0.000263641,1276,0.336405775
traditional,1797,0.000263201,1277,0.3361083
feel,1795,0.000262909,1278,0.335997132
firmly,1795,0.000262909,1279,0.33626004
probably,1794,0.000262762,1280,0.336335471
passed,1793,0.000262616,1281,0.336410608
tijuana,1790,0.000262176,1282,0.336109911
initially,1790,0.000262176,1283,0.336372088
mississippi,1788,0.000261883,1284,0.336258136
alabama,1786,0.00026159,1285,0.336143599
monitoring,1785,0.000261444,1286,0.336216832
risks,1783,0.000261151,1287,0.33610127
union,1782,0.000261004,1288,0.336173771
departments,1781,0.000260858,1289,0.336245979
assume,1780,0.000260712,1290,0.336317895
leadership,1778,0.000260419,1291,0.336200428
bill,1777,0.000260272,1292,0.336271611
likened,1776,0.000260126,1293,0.336342501
using,1776,0.000260126,1294,0.336602627
nationals,1774,0.000259833,1295,0.336483403
positive,1774,0.000259833,1296,0.336743235
foreign,1773,0.000259686,1297,0.3368131
barajas,1772,0.00025954,1298,0.336882672
issues,1771,0.000259393,1299,0.336951951
international,1769,0.0002591,1300,0.33683053
pretense,1768,0.000258954,1301,0.336899076
FALSE,1767,0.000258807,1302,0.33696733
acting,1765,0.000258515,1303,0.336844444
contended,1764,0.000258368,1304,0.336911965
resisted,1764,0.000258368,1305,0.337170334
persons,1763,0.000258222,1306,0.337237416
ive,1763,0.000258222,1307,0.337495637
underage,1762,0.000258075,1308,0.33756228
dealing,1760,0.000257782,1309,0.337436904
threats,1758,0.000257489,1310,0.337310942
potential,1757,0.000257343,1311,0.337376413
noted,1756,0.000257196,1312,0.337441591
involving,1756,0.000257196,1313,0.337698787
fraud,1754,0.000256903,1314,0.337571068
deceptive,1753,0.000256757,1315,0.337635367
suspected,1753,0.000256757,1316,0.337892124
succeeded,1751,0.000256464,1317,0.337763086
inaccurate,1751,0.000256464,1318,0.33801955
harmful,1750,0.000256318,1319,0.338082824
potentially,1750,0.000256318,1320,0.338339141
objectionable,1749,0.000256171,1321,0.338401976
theyve,1749,0.000256171,1322,0.338658147
teen,1747,0.000255878,1323,0.338526766
deportability,1743,0.000255292,1324,0.338006954
limits,1741,0.000254999,1325,0.337874108
exposed,1741,0.000254999,1326,0.338129108
investigate,1740,0.000254853,1327,0.338189745
suhr,1737,0.000254413,1328,0.337861073
environment,1736,0.000254267,1329,0.337920831
promote,1733,0.000253828,1330,0.337590694
readmit,1726,0.000252802,1331,0.336479887
certificate,1725,0.000252656,1332,0.336537595
reading,1724,0.000252509,1333,0.336595011
homeland,1723,0.000252363,1334,0.336652133
subpoena,1722,0.000252216,1335,0.336708962
urges,1716,0.000251338,1336,0.335787098
feminine,1712,0.000250752,1337,0.335255129
totally,1711,0.000250605,1338,0.335309908
removal,1705,0.000249727,1339,0.334383796
restroom,1702,0.000249287,1340,0.334044724
k,1701,0.000249141,1341,0.334097599
credibility,1699,0.000248848,1342,0.333953622
ran,1699,0.000248848,1343,0.334202469
walks,1698,0.000248701,1344,0.334254465
vouch,1694,0.000248115,1345,0.333715173
reunite,1694,0.000248115,1346,0.333963289
scrutiny,1693,0.000247969,1347,0.334014113
j,1692,0.000247822,1348,0.334064644
deported,1692,0.000247822,1349,0.334312466
concluded,1690,0.00024753,1350,0.334164827
placing,1690,0.00024753,1351,0.334412357
administer,1687,0.00024709,1352,0.334065816
h,1686,0.000246944,1353,0.334114736
communities,1685,0.000246797,1354,0.334163363
congress,1685,0.000246797,1355,0.33441016
interview,1681,0.000246211,1356,0.333862519
introduced,1681,0.000246211,1357,0.33410873
gallego,1680,0.000246065,1358,0.334156039
ruben,1679,0.000245918,1359,0.334203055
host,1679,0.000245918,1360,0.334448974
rep,1678,0.000245772,1361,0.33449555
arizona,1677,0.000245625,1362,0.334541834
payments,1677,0.000245625,1363,0.334787459
handle,1676,0.000245479,1364,0.334833304
requests,1674,0.000245186,1365,0.334678927
orders,1671,0.000244747,1366,0.334323891
slow,1671,0.000244747,1367,0.334568637
california,1670,0.0002446,1368,0.334613017
accused,1665,0.000243868,1369,0.333855049
reunited,1662,0.000243428,1370,0.333496937
enjoying,1660,0.000243135,1371,0.333338753
citizen,1659,0.000242989,1372,0.333380935
operational,1656,0.00024255,1373,0.333020626
else,1656,0.00024255,1374,0.333263176
anyone,1655,0.000242403,1375,0.333304333
technical,1654,0.000242257,1376,0.333345197
inhibits,1654,0.000242257,1377,0.333587454
extended,1654,0.000242257,1378,0.333829711
grimm,1653,0.00024211,1379,0.333869989
customer,1653,0.00024211,1380,0.334112099
nature,1653,0.00024211,1381,0.334354209
accidental,1652,0.000241964,1382,0.334393902
restricts,1652,0.000241964,1383,0.334635866
stressed,1650,0.000241671,1384,0.334472408
reenter,1644,0.000240792,1385,0.333496937
reviewed,1644,0.000240792,1386,0.333737729
unable,1642,0.000240499,1387,0.333572221
systems,1641,0.000240353,1388,0.333609424
automated,1640,0.000240206,1389,0.333646334
france,1640,0.000240206,1390,0.33388654
ix,1639,0.00024006,1391,0.33392301
hundreds,1639,0.00024006,1392,0.33416307
technologies,1638,0.000239913,1393,0.334199101
bags,1638,0.000239913,1394,0.334439014
enforces,1637,0.000239767,1395,0.334474605
packed,1636,0.00023962,1396,0.334509904
lieutenant,1634,0.000239327,1397,0.334340295
corps,1633,0.000239181,1398,0.334374861
functions,1632,0.000239034,1399,0.334409135
businessrelated,1631,0.000238888,1400,0.334443115
complaint,1630,0.000238741,1401,0.334476802
involves,1628,0.000238449,1402,0.33430485
engaged,1628,0.000238449,1403,0.334543299
stemming,1624,0.000237863,1404,0.333959188
disqualified,1624,0.000237863,1405,0.33419705
texting,1622,0.00023757,1406,0.334023047
legion,1621,0.000237423,1407,0.334054538
french,1619,0.00023713,1408,0.333879509
upload,1618,0.000236984,1409,0.333910267
follows,1618,0.000236984,1410,0.334147251
tried,1615,0.000236544,1411,0.33376424
disclose,1614,0.000236398,1412,0.333793973
marines,1613,0.000236252,1413,0.333823412
disclosure,1611,0.000235959,1414,0.333645455
dismissed,1608,0.000235519,1415,0.33325966
system,1608,0.000235519,1416,0.33349518
commanders,1607,0.000235373,1417,0.333523155
iii,1607,0.000235373,1418,0.333758528
ultimately,1604,0.000234933,1419,0.33337039
objections,1604,0.000234933,1420,0.333605323
implicated,1601,0.000234494,1421,0.333215867
citizenship,1600,0.000234347,1422,0.333242084
details,1599,0.000234201,1423,0.333268009
corroborate,1599,0.000234201,1424,0.33350221
lab,1597,0.000233908,1425,0.33331898
biased,1595,0.000233615,1426,0.333135163
assurance,1594,0.000233469,1427,0.33315977
quality,1593,0.000233322,1428,0.333184083
1600,1590,0.000232883,1429,0.332789501
redistributed,1586,0.000232297,1430,0.332184591
green,1585,0.00023215,1431,0.332207294
prompted,1585,0.00023215,1432,0.332439444
reused,1584,0.000232004,1433,0.332461707
faster,1582,0.000231711,1434,0.332273643
searchable,1574,0.000230539,1435,0.330823911
current,1574,0.000230539,1436,0.331054451
forensic,1573,0.000230393,1437,0.331074517
discovered,1571,0.0002301,1438,0.33088367
robots,1570,0.000229953,1439,0.330903004
ceo,1569,0.000229807,1440,0.330922044
publicly,1569,0.000229807,1441,0.331151851
upside,1569,0.000229807,1442,0.331381658
payperclick,1567,0.000229514,1443,0.331188761
homophobic,1567,0.000229514,1444,0.331418275
lothridge,1567,0.000229514,1445,0.331647789
includes,1566,0.000229368,1446,0.331665512
reviews,1565,0.000229221,1447,0.331682941
round,1563,0.000228928,1448,0.331487994
deploy,1562,0.000228782,1449,0.331504691
accommodations,1562,0.000228782,1450,0.331733473
profile,1560,0.000228489,1451,0.331537207
volunteered,1560,0.000228489,1452,0.331765695
views,1559,0.000228342,1453,0.331781367
page,1558,0.000228196,1454,0.331796746
inflate,1556,0.000227903,1455,0.331598723
someone,1556,0.000227903,1456,0.331826626
artificially,1555,0.000227756,1457,0.331841126
george,1555,0.000227756,1458,0.332068882
district,1553,0.000227464,1459,0.331869248
select,1550,0.000227024,1460,0.331455185
loved,1549,0.000226878,1461,0.331468221
tricorder,1549,0.000226878,1462,0.331695098
infantryman,1547,0.000226585,1463,0.331493413
youll,1546,0.000226438,1464,0.33150557
revealing,1545,0.000226292,1465,0.331517433
trek,1543,0.000225999,1466,0.331314284
recent,1542,0.000225852,1467,0.331325415
wmbf,1540,0.000225559,1468,0.33112124
juggle,1535,0.000224827,1469,0.330270998
likewise,1535,0.000224827,1470,0.330495825
typically,1534,0.000224681,1471,0.330505199
portion,1531,0.000224241,1472,0.330083081
iraq,1528,0.000223802,1473,0.329660083
reconfirmed,1526,0.000223509,1474,0.3294521
deployment,1526,0.000223509,1475,0.329675609
color,1525,0.000223362,1476,0.329682932
resell,1523,0.000223069,1477,0.329473631
sell,1522,0.000222923,1478,0.329480222
copy,1521,0.000222777,1479,0.32948652
tests,1520,0.00022263,1480,0.329492525
duplicate,1520,0.00022263,1481,0.329715155
samples,1516,0.000222044,1482,0.329069528
torres,1515,0.000221898,1483,0.329074361
tissue,1515,0.000221898,1484,0.329296259
hinder,1515,0.000221898,1485,0.329518157
welcoming,1514,0.000221751,1486,0.329522404
easier,1512,0.000221458,1487,0.329308562
connected,1511,0.000221312,1488,0.329312077
networks,1510,0.000221165,1489,0.3293153
definitely,1509,0.000221019,1490,0.329318229
board,1508,0.000220872,1491,0.329320865
aclu,1507,0.000220726,1492,0.329323209
scene,1507,0.000220726,1493,0.329543935
policies,1506,0.00022058,1494,0.329545839
examine,1505,0.000220433,1495,0.32954745
blog,1504,0.000220287,1496,0.329548768
requirements,1504,0.000220287,1497,0.329769055
disobey,1502,0.000219994,1498,0.329550526
represented,1500,0.000219701,1499,0.329331411
personalities,1499,0.000219554,1500,0.329331411
pasquarella,1497,0.000219261,1501,0.329111271
prescriptions,1497,0.000219261,1502,0.329330532
called,1496,0.000219115,1503,0.329329653
servers,1494,0.000218822,1504,0.329108195
minority,1492,0.000218529,1505,0.328886151
accommodate,1490,0.000218236,1506,0.328663521
disrupt,1489,0.00021809,1507,0.328661031
seeks,1488,0.000217943,1508,0.328658248
williams,1488,0.000217943,1509,0.328876191
interfere,1486,0.00021765,1510,0.328651803
fellow,1484,0.000217357,1511,0.32842683
reaching,1483,0.000217211,1512,0.328422729
relies,1481,0.000216918,1513,0.32819673
maxey,1481,0.000216918,1514,0.328413648
component,1481,0.000216918,1515,0.328630566
uniform,1481,0.000216918,1516,0.328847484
disruptive,1480,0.000216771,1517,0.328842211
detective,1478,0.000216478,1518,0.328614308
selfdeported,1478,0.000216478,1519,0.328830786
bunker,1476,0.000216186,1520,0.328602005
aware,1476,0.000216186,1521,0.32881819
worthy,1475,0.000216039,1522,0.328811453
maintains,1473,0.000215746,1523,0.328581353
routine,1473,0.000215746,1524,0.328797099
contain,1473,0.000215746,1525,0.329012845
sources,1471,0.000215453,1526,0.328781573
black,1469,0.00021516,1527,0.328549716
examiners,1469,0.00021516,1528,0.328764876
group,1463,0.000214281,1529,0.327636347
wonder,1462,0.000214135,1530,0.327626533
happened,1458,0.000213549,1531,0.326943703
gathers,1457,0.000213403,1532,0.326932865
hurt,1455,0.00021311,1533,0.326697199
extremely,1454,0.000212963,1534,0.326685628
princes,1451,0.000212524,1535,0.32622411
rick,1451,0.000212524,1536,0.326436634
va,1451,0.000212524,1537,0.326649158
private,1450,0.000212377,1538,0.326636415
superintendent,1450,0.000212377,1539,0.326848793
horry,1447,0.000211938,1540,0.326384492
groups,1446,0.000211792,1541,0.326370724
strobl,1446,0.000211792,1542,0.326582515
slur,1445,0.000211645,1543,0.326568308
racial,1444,0.000211499,1544,0.326553808
combine,1443,0.000211352,1545,0.326539015
personallyidentifiable,1442,0.000211206,1546,0.326523929
collecting,1441,0.000211059,1547,0.32650855
harvesting,1439,0.000210766,1548,0.326266146
ilona,1438,0.00021062,1549,0.326250035
effort,1438,0.00021062,1550,0.326460655
singled,1437,0.000210473,1551,0.326444104
procedure,1437,0.000210473,1552,0.326654577
presumed,1436,0.000210327,1553,0.326637587
isnt,1436,0.000210327,1554,0.326847914
gloucesters,1435,0.00021018,1555,0.326830484
sergeant,1434,0.000210034,1556,0.326812762
quinn,1433,0.000209887,1557,0.326794746
unconstitutional,1433,0.000209887,1558,0.327004634
africanamerican,1433,0.000209887,1559,0.327214521
yulanda,1430,0.000209448,1560,0.326738942
circuit,1429,0.000209302,1561,0.326719755
friday,1429,0.000209302,1562,0.326929057
musician,1427,0.000209009,1563,0.326680502
officer,1427,0.000209009,1564,0.326889511
knowing,1426,0.000208862,1565,0.326869298
57yearold,1426,0.000208862,1566,0.32707816
singledout,1426,0.000208862,1567,0.327287022
vegas,1425,0.000208716,1568,0.327266224
autopsy,1423,0.000208423,1569,0.327015326
endorsement,1421,0.00020813,1570,0.326763842
odds,1421,0.00020813,1571,0.326971972
minnesota,1420,0.000207983,1572,0.326949855
ramsey,1419,0.000207837,1573,0.326927446
suggest,1416,0.000207397,1574,0.326443665
midwest,1414,0.000207105,1575,0.32618969
scattered,1413,0.000206958,1576,0.326165963
versions,1411,0.000206665,1577,0.325910963
racists,1409,0.000206372,1578,0.325655378
restrooms,1408,0.000206226,1579,0.325630479
arrested,1405,0.000205786,1580,0.32514245
affiliation,1404,0.00020564,1581,0.325116672
investigations,1404,0.00020564,1582,0.325322312
misrepresent,1402,0.000205347,1583,0.325064237
prohibiting,1402,0.000205347,1584,0.325269584
modern,1402,0.000205347,1585,0.325474931
associate,1401,0.0002052,1586,0.325447981
carolinas,1399,0.000204908,1587,0.325188295
falsely,1398,0.000204761,1588,0.325160612
employee,1396,0.000204468,1589,0.324899901
legislation,1395,0.000204322,1590,0.324871486
quick,1394,0.000204175,1591,0.324842778
havent,1391,0.000203736,1592,0.324347427
titled,1390,0.000203589,1593,0.32431784
because,1389,0.000203443,1594,0.324287961
sciencethemed,1388,0.000203296,1595,0.324257789
unclear,1386,0.000203003,1596,0.323993562
hasnt,1385,0.000202857,1597,0.323962657
interpret,1384,0.000202711,1598,0.32393146
impersonate,1382,0.000202418,1599,0.323665768
prince,1379,0.000201978,1600,0.323165144
superstar,1378,0.000201832,1601,0.323132628
courts,1378,0.000201832,1602,0.32333446
lower,1377,0.000201685,1603,0.323301505
pop,1377,0.000201685,1604,0.32350319
compensation,1375,0.000201392,1605,0.323234716
accident,1371,0.000200806,1606,0.322495203
society,1370,0.00020066,1607,0.322460637
precedent,1370,0.00020066,1608,0.322661297
trauma,1368,0.000200367,1609,0.322390625
aftra,1365,0.000199928,1610,0.321883556
compelled,1365,0.000199928,1611,0.322083484
associates,1364,0.000199781,1612,0.322047306
actors,1364,0.000199781,1613,0.322247087
radio,1363,0.000199635,1614,0.322210471
meaning,1362,0.000199488,1615,0.322173561
television,1361,0.000199342,1616,0.322136358
federation,1359,0.000199049,1617,0.321862025
examiner,1356,0.000198609,1618,0.321350123
sag,1356,0.000198609,1619,0.321548732
guild,1355,0.000198463,1620,0.321510065
prompting,1351,0.000197877,1621,0.320758835
elevator,1351,0.000197877,1622,0.320956712
youtube,1350,0.000197731,1623,0.320916873
member,1350,0.000197731,1624,0.321114603
unresponsive,1348,0.000197438,1625,0.320836316
crimes,1348,0.000197438,1626,0.321033754
submission,1345,0.000196998,1627,0.320516285
furminger,1343,0.000196705,1628,0.320236386
appears,1342,0.000196559,1629,0.320194497
fought,1340,0.000196266,1630,0.319913573
hotel,1339,0.00019612,1631,0.319870951
discrimination,1331,0.000194948,1632,0.318154795
judges,1330,0.000194801,1633,0.318110562
sex,1330,0.000194801,1634,0.318305363
banning,1329,0.000194655,1635,0.318260691
passport,1328,0.000194508,1636,0.318215725
appealed,1328,0.000194508,1637,0.318410234
likeness,1328,0.000194508,1638,0.318604742
tweeted,1326,0.000194215,1639,0.318319131
artist,1324,0.000193923,1640,0.318032934
disciplinary,1323,0.000193776,1641,0.317986504
viewed,1323,0.000193776,1642,0.31818028
initiate,1322,0.00019363,1643,0.318133411
long,1320,0.000193337,1644,0.317845456
53,1320,0.000193337,1645,0.318038793
waited,1318,0.000193044,1646,0.31774996
gloucester,1318,0.000193044,1647,0.317943003
52,1317,0.000192897,1648,0.317894669
natural,1317,0.000192897,1649,0.318087567
judge,1315,0.000192604,1650,0.317797122
lived,1314,0.000192458,1651,0.317747909
consent,1311,0.000192018,1652,0.317214476
gavin,1309,0.000191726,1653,0.316922274
proceeds,1309,0.000191726,1654,0.317113999
19,1305,0.00019114,1655,0.316336112
eight,1303,0.000190847,1656,0.316042153
ruled,1302,0.0001907,1657,0.315990303
immigration,1301,0.000190554,1658,0.315938161
appeals,1301,0.000190554,1659,0.316128715
attempted,1300,0.000190407,1660,0.316076133
yourself,1300,0.000190407,1661,0.31626654
concert,1299,0.000190261,1662,0.316213519
4th,1297,0.000189968,1663,0.31591663
offense,1295,0.000189675,1664,0.315619156
criminal,1294,0.000189529,1665,0.315564963
anymore,1292,0.000189236,1666,0.315266463
kid,1291,0.000189089,1667,0.315211537
captain,1290,0.000188943,1668,0.315156319
reform,1288,0.00018865,1669,0.314856355
fourteen,1286,0.000188357,1670,0.314555804
solicitation,1282,0.000187771,1671,0.313765174
addressing,1281,0.000187624,1672,0.313708052
prime,1281,0.000187624,1673,0.313895676
corruption,1281,0.000187624,1674,0.314083301
consistent,1280,0.000187478,1675,0.314025593
rewards,1280,0.000187478,1676,0.314213071
song,1279,0.000187331,1677,0.314154923
bathrooms,1279,0.000187331,1678,0.314342255
schemes,1276,0.000186892,1679,0.313791831
pyramid,1275,0.000186746,1680,0.313732658
letters,1274,0.000186599,1681,0.313673193
additionally,1273,0.000186453,1682,0.313613434
chain,1273,0.000186453,1683,0.313799887
upheld,1273,0.000186453,1684,0.31398634
spam,1272,0.000186306,1685,0.313925995
sentence,1272,0.000186306,1686,0.314112301
thenimpending,1270,0.000186013,1687,0.313804427
junk,1270,0.000186013,1688,0.313990441
immigrants,1269,0.000185867,1689,0.313929071
grammy,1268,0.00018572,1690,0.313867408
advance,1267,0.000185574,1691,0.313805453
director,1267,0.000185574,1692,0.313991027
speaks,1264,0.000185134,1693,0.313432694
jennie,1264,0.000185134,1694,0.313617828
promotional,1262,0.000184842,1695,0.313306439
aid,1260,0.000184549,1696,0.312994464
advertising,1259,0.000184402,1697,0.312930458
enlisted,1258,0.000184256,1698,0.312866159
progress,1256,0.000183963,1699,0.312552719
unsolicited,1256,0.000183963,1700,0.312736682
thursday,1255,0.000183816,1701,0.312671504
area,1253,0.000183523,1702,0.312356746
hotels,1250,0.000183084,1703,0.311791969
californiabased,1250,0.000183084,1704,0.311975053
tenderloin,1249,0.000182937,1705,0.31190841
laughed,1249,0.000182937,1706,0.312091347
oakland,1249,0.000182937,1707,0.312274285
theme,1249,0.000182937,1708,0.312457222
lowrent,1248,0.000182791,1709,0.312389848
topic,1247,0.000182645,1710,0.31232218
comandante,1247,0.000182645,1711,0.312504824
designated,1246,0.000182498,1712,0.312436717
drugs,1244,0.000182205,1713,0.312117419
pertain,1243,0.000182059,1714,0.312048579
generally,1242,0.000181912,1715,0.311979447
pointing,1241,0.000181766,1716,0.311910021
stealing,1241,0.000181766,1717,0.312091787
casually,1240,0.000181619,1718,0.312021922
nottingham,1239,0.000181473,1719,0.311951764
johnson,1239,0.000181473,1720,0.312133237
convicted,1239,0.000181473,1721,0.31231471
shawn,1238,0.000181326,1722,0.312243966
manziel,1236,0.000181033,1723,0.311920567
dropped,1235,0.000180887,1724,0.311849091
deschanel,1235,0.000180887,1725,0.312029978
zooey,1234,0.00018074,1726,0.311958062
independently,1234,0.00018074,1727,0.312138803
desktop,1233,0.000180594,1728,0.312066448
ian,1233,0.000180594,1729,0.312247042
nike,1232,0.000180448,1730,0.312174248
sgt,1232,0.000180448,1731,0.312354695
former,1231,0.000180301,1732,0.312281462
away,1230,0.000180155,1733,0.312207935
barred,1229,0.000180008,1734,0.312134116
typed,1229,0.000180008,1735,0.312314124
fired,1227,0.000179715,1736,0.311985598
desk,1226,0.000179569,1737,0.3119109
burkhardt,1225,0.000179422,1738,0.311835909
recipients,1225,0.000179422,1739,0.312015331
erik,1224,0.000179276,1740,0.3119399
detailing,1224,0.000179276,1741,0.312119176
papers,1223,0.000179129,1742,0.312043306
permanent,1223,0.000179129,1743,0.312222436
walked,1222,0.000178983,1744,0.312146126
castillo,1221,0.000178836,1745,0.312069524
filed,1221,0.000178836,1746,0.31224836
intellectual,1220,0.00017869,1747,0.312171319
prosecutor,1220,0.00017869,1748,0.312350008
paris,1220,0.00017869,1749,0.312528698
fiveday,1218,0.000178397,1750,0.312194753
violated,1218,0.000178397,1751,0.31237315
hanging,1216,0.000178104,1752,0.312038326
occurred,1214,0.000177811,1753,0.311702917
invitations,1214,0.000177811,1754,0.311880728
cards,1213,0.000177665,1755,0.311801489
brain,1213,0.000177665,1756,0.311979154
gifts,1212,0.000177518,1757,0.311899475
traumatic,1212,0.000177518,1758,0.312076994
diagnoses,1210,0.000177225,1759,0.31173924
steps,1208,0.000176932,1760,0.311400901
hoping,1203,0.0001762,1761,0.31028819
harm,1201,0.000175907,1762,0.30994824
denmark,1200,0.000175761,1763,0.309865925
benefits,1200,0.000175761,1764,0.310041686
rescind,1199,0.000175614,1765,0.309958932
analysis,1199,0.000175614,1766,0.310134546
festival,1198,0.000175468,1767,0.310051353
served,1197,0.000175321,1768,0.309967867
skanderborg,1197,0.000175321,1769,0.310143188
discharge,1196,0.000175175,1770,0.310059262
interaction,1194,0.000174882,1771,0.30971565
performs,1193,0.000174735,1772,0.309630992
graduation,1191,0.000174442,1773,0.309286355
esparza,1190,0.000174296,1774,0.309200965
convictions,1184,0.000173417,1775,0.307815385
fourth,1184,0.000173417,1776,0.307988802
rosenhaus,1183,0.000173271,1777,0.307901947
spokesman,1182,0.000173124,1778,0.307814799
continue,1179,0.000172685,1779,0.307206228
billboard,1179,0.000172685,1780,0.307378913
albie,1178,0.000172538,1781,0.30729074
skin,1176,0.000172245,1782,0.306941269
kicked,1172,0.00017166,1783,0.306068911
longer,1172,0.00017166,1784,0.30624057
spend,1171,0.000171513,1785,0.306150786
rests,1171,0.000171513,1786,0.306322299
outlined,1169,0.00017122,1787,0.305970338
simply,1168,0.000171074,1788,0.305879675
lashed,1164,0.000170488,1789,0.30500263
secret,1163,0.000170341,1790,0.304910941
visits,1163,0.000170341,1791,0.305081283
apart,1162,0.000170195,1792,0.304989155
55th,1159,0.000169755,1793,0.304371503
protected,1158,0.000169609,1794,0.304278496
texter,1157,0.000169463,1795,0.304185197
kimbra,1156,0.000169316,1796,0.304091604
gotye,1154,0.000169023,1797,0.303734517
suddenly,1154,0.000169023,1798,0.30390354
feared,1152,0.00016873,1799,0.303545575
lanes,1151,0.000168584,1800,0.303450664
determining,1151,0.000168584,1801,0.303619247
ex,1149,0.000168291,1802,0.303259964
burden,1149,0.000168291,1803,0.303428254
manziels,1148,0.000168144,1804,0.303332318
johnny,1147,0.000167998,1805,0.303236089
uber,1146,0.000167851,1806,0.303139568
diego,1146,0.000167851,1807,0.303307419
presents,1145,0.000167705,1808,0.303210458
transitions,1145,0.000167705,1809,0.303378163
chick,1143,0.000167412,1810,0.303015656
asian,1142,0.000167265,1811,0.302917816
protect,1142,0.000167265,1812,0.303085082
jenner,1141,0.000167119,1813,0.302986802
dumb,1141,0.000167119,1814,0.303153921
caitlyn,1140,0.000166973,1815,0.303055202
helping,1138,0.00016668,1816,0.302690206
recovery,1137,0.000166533,1817,0.302590755
46,1136,0.000166387,1818,0.302491011
onduty,1134,0.000166094,1819,0.30212455
cigarette,1134,0.000166094,1820,0.302290644
reek,1132,0.000165801,1821,0.301923304
representation,1130,0.000165508,1822,0.301555379
coma,1130,0.000165508,1823,0.301720887
iheartradio,1128,0.000165215,1824,0.301352082
terminated,1127,0.000165068,1825,0.301249995
blige,1124,0.000164629,1826,0.300612716
mountain,1123,0.000164483,1827,0.30050975
528,1122,0.000164336,1828,0.30040649
singer,1121,0.00016419,1829,0.300302938
platoon,1117,0.000163604,1830,0.299394988
station,1117,0.000163604,1831,0.299558592
moving,1115,0.000163311,1832,0.29918554
drew,1115,0.000163311,1833,0.299348851
prominent,1113,0.000163018,1834,0.29897492
gratuitous,1112,0.000162871,1835,0.298869171
truck,1112,0.000162871,1836,0.299032042
running,1110,0.000162579,1837,0.298656794
prurient,1110,0.000162579,1838,0.298819372
exploitive,1109,0.000162432,1839,0.298712598
town,1109,0.000162432,1840,0.29887503
principally,1107,0.000162139,1841,0.29849817
divides,1107,0.000162139,1842,0.298660309
copenhagen,1105,0.000161846,1843,0.29828257
captured,1104,0.0001617,1844,0.298174331
garcia,1102,0.000161407,1845,0.297795567
camp,1101,0.00016126,1846,0.297686595
appear,1100,0.000161114,1847,0.297577331
